ニコラ・プッサン,(カツドー 活動),(チューシン 中心)
SHOCK,(ツケル 着ける),(チャクヨー 着用),(ハツバイ 発売),(フキュー 普及),(シヨー 使用),(ツクル 作る),(ダイヒョー 代表),(シュサイ 主催)
フェルギノール,(コーキン 抗菌)
ヤヤ・トゥーレ,(カニュー 加入)
ソランジュ,(コドモ 子供),(オンガクカ 音楽家),(ハヤイ 早い),(ボーズ 坊主),(サンカ 参加),(クワワル 加わる),(メンバー メンバー),(ポップ ポップ)
アウィトゥス,(キョーリ 郷里),(ハイイ 廃位),(コーテイ 皇帝),(ユーリョク 有力),(シンテイ 新帝)
ガラリア・ニャムヒー,(トージョー 搭乗)
タイブレイク,(ソンザイ 存在),(オコナウ 行う)
会衆,(アツメル 集める),(ホーモン 訪問),(オシエル 教える),(タイジョー 退場),(カントク 監督),(オンガク 音楽),(アツマル 集まる),(ツージョー 通常),(コエル 越える),(キリツ 起立),(セツリツ 設立),(セイサン 聖餐),(セイレイ 聖霊),(セイショク 聖職),(セイドー 聖堂),(カンタン 簡単),(サイダン 祭壇),(シュクフク 祝福),(レイハイ 礼拝),(ナキサケブ 泣き叫ぶ),(カショー 歌唱),(ウタウ 歌う),(センリツ 旋律),(ココロ 心),(フクショー 復唱),(コーゾク 後続),(チーサイ 小さい),(ミチビク 導く),(ヨリツク 寄り付く),(シューキョー 宗教),(ソンザイ 存在),(ウバウ 奪う),(シサイ 司祭),(クチグチ 口々),(ブンレツ 分裂),(センドー 先導),(ギシキ 儀式),(カイシュー 会衆),(チューシン 中心),(メロディ メロディ)
スフマート,(トリイレル 取り入れる)
雑木,(ホネグミ 骨組み),(アツメル 集める),(ハイス 配す),(ハコブ 運ぶ),(ワギリ 輪切り),(シゲル 繁る),(セッキョク 積極),(ハエル 生える),(マジル 混じる),(ウエル 植える),(オーイ 多い),(キリハラウ 切り払う),(シヨー 使用),(ツカウ 使う),(バッサイ 伐採),(シュタイ 主体)
ビル・フリゼール,(シュサイ 主催)
闘士,(ソーチャク 装着),(サンショー 参照),(アツメル 集める),(トージョー 登場),(タオス 倒す),(ホーフツ 髣髴),(トーギ 闘技),(チョーエツ 超越),(シハイ 支配),(シエン 支援),(タタカウ 戦う),(マモル 守る),(オーイ 多い),(フクム 含む),(ヨーセイ 養成),(ダイザイ 題材),(ヒンパン 頻繁),(キタエル 鍛える),(ハルカ 遥か),(オクリコム 送り込む),(セットク 説得),(シアイ 試合),(クンレン 訓練),(ウチトル 討ち取る),(カイホー 解放),(カンシュー 観衆),(ホームル 葬る),(ジシン 自身),(ジユー 自由),(ビケイ 美形),(ツズケル 続ける),(トーソツ 統率),(スベル 統べる),(ソシキ 組織),(スガオ 素顔),(キョーギ 競技),(タチムカウ 立ち向かう),(チャクヨー 着用),(ハツバイ 発売),(ヨミガエル 甦る),(ウマレル 生まれる),(ヒキイル 率いる),(ショーモー 消耗),(ハケン 派遣),(ノコス 残す),(ホンミョー 本名),(サイカ 最下),(サイジョーキュー 最上級),(アヤツル 操る),(エガク 描く),(マッサツ 抹殺),(センソー 戦争),(ヒキオコス 引き起こす),(ショーウチュー 小宇宙),(フーイン 封印),(ソンザイ 存在),(ジョオー 女王),(キセキ 奇跡),(ウシナウ 失う),(キホン 基本),(チジョー 地上),(ハンラン 反乱),(サンカ 参加),(シノグ 凌ぐ),(シュギョー 修行),(ブベツ 侮蔑),(キョーキュー 供給),(シュジンコー 主人公),(チューキュー 中級),(ウワマワル 上回る),(モチーフ モチーフ),(アニメ アニメ),(アブリダシ あぶり出し)
トレビシック,(ジョーキ 蒸気),(コーアツ 高圧),(タカイ 高い),(キネン 記念),(セイサク 製作),(バクハツ 爆発),(サイショ 最初),(アラタ 新た),(テイアン 提案),(イノチ 命),(ユージン 友人),(アヤウイ 危うい),(センシン 先進),(ナクナル 亡くなる),(セカイ 世界),(ボイラー ボイラー),(ダート ダート),(コンサルタント コンサルタント)
ウォルター・ラカー,(レキシ 歴史)
Kashmir,(アラワス 著す)
エステンフェルト,(レンポー 連邦)
文豪,(トール 通る),(キンペン 近辺),(ハイシュツ 輩出),(ソダテル 育てる),(ライホー 来訪),(アイス 愛す),(ハジメル 始める),(オーイ 多い),(シッピツ 執筆),(チューシン 中心)
Dreamer,(リリース リリース)
蔡儁,(クダリ 行),(タイラ 平),(カタイ 堅い)
アジャンクール,(ハッピョー 発表)
外科,(センコー 専攻),(マナブ 学ぶ),(チューシン 中心),(センモン 専門),(シンリョー 診療),(ジュシン 受診),(カイセツ 開設),(カイギョー 開業),(シュートク 習得),(ヒョーボー 標榜),(シンセツ 新設),(タントー 担当),(ビヨー 美容),(ショーカイ 紹介),(ヒテイ 否定),(キリストキョート キリスト教徒),(ノゾク 除く),(ナガイ 長い),(ツイホー 追放),(ホコル 誇る),(セッチ 設置),(セツリツ 設立),(ホーモン 訪問),(オコナウ 行う),(ソーショー 総称),(ケイショー 継承),(ケイケン 経験),(ケイエイ 経営),(カクリツ 確立),(ケンシュー 研修),(メザス 目指す),(ハッピョー 発表),(ビョーイン 病院),(トクチョー 特徴),(ハセイ 派生),(レキシ 歴史),(セイシキ 正式),(セイケイ 整形),(ニナウ 担う),(アツカウ 扱う),(セイリツ 成立),(キューセイ 急性),(ココロザス 志す),(ジュンカン 循環),(トクイ 得意),(ハイシ 廃止),(タイガイ 対外),(シュビ 守備),(オンナ 女),(ダイガク 大学),(イトナム 営む),(コショー 呼称),(フクム 含む),(トリアゲル 取り上げる),(クベツ 区別),(クワワル 加わる),(ソーセツ 創設),(リヨー 利用),(オサメ 修め),(ヘイセツ 併設),(アワセ 併せる),(ジンコー 人工),(シュサイ 主宰),(チューカク 中核),(イッタイカ 一体化),(リード リード)
トム・ローゼンバーグ,(セツリツ 設立)
カヴァス,(ハタス 果たす),(ヤクメ 役目),(サンカ 参加)
除算,(オコナウ 行う),(ハッセイ 発生),(ジッコー 実行),(デキル 出来る),(ツージョー 通常),(オコル 起こる),(セツメイ 説明),(アラワス 表す),(サンジュツ 算術),(ムイミ 無意味),(テンジ 点字),(ミテイギ 未定義),(スーガク 数学),(サイヨー 採用),(ヒツヨー 必要),(ジツゲン 実現),(カイフク 回復),(フクム 含む),(サンショー 参照),(ジッシンホー 十進法),(コーリツ 効率),(ツカウ 使う),(ダイスー 代数),(ジョーザン 乗算),(リョーリツ 両立),(フヨー 不要),(フカノー 不可能),(イチレン 一連),(パイプライン パイプライン),(バージョン バージョン),(シフト シフト),(エラー エラー)
ユブラピアッシング,(ツージョー 通常),(スイミン 睡眠),(ハジメル 始める),(イレル 入れる)
MBL,(チョッカク 直角)
MBO,(ジッシ 実施),(オコナウ 行う),(ハッピョー 発表),(カツヨー 活用),(ヒキアイ 引き合い),(カンリョー 完了),(ウケイレル 受け入れる)
MBD,(トーサイ 搭載)
MBE,(ジュショー 受章),(ツカウ 使う)
MBA,(シュトク 取得),(ジュヨ 授与),(シュートク 習得),(セカイ 世界),(ノゾク 除く),(カイサイ 開催),(ユースル 有する),(テイキョー 提供),(サズカル 授かる),(イシキ 意識),(ウケル 受ける),(シューリョー 修了),(チューシン 中心)
MBC,(ダイヒョー 代表),(ノゾク 除く),(タイシャ 退社),(オトズレル 訪れる)
MBT,(ワンガン 湾岸),(カカク 価格)
MBP,(カクトク 獲得)
MBR,(ソンザイ 存在),(クベツ 区別),(ゼンテイ 前提),(リヨー 利用),(バックアップ バックアップ)
