ズアカマシコ,(セイソク 生息)
シルバーバレット,(キカク 企画)
楊雄,(ムカエウツ 迎え撃つ),(ジブン 自分),(ギケイ 義兄),(コーセキ 功績),(アテル 充てる),(ナラズモノ ならず者)
アイソスピン,(アラワス 表す),(ツヨイ 強い),(ドーニュー 導入),(ゴーセイ 合成),(ホゾン 保存),(アップ アップ)
プリスカ,(センリョー 占領),(ハカイ 破壊),(カイメツ 壊滅),(トリモドス 取り戻す)
LVDS,(モチイル 用いる),(ヒョージュン 標準),(オキカエル 置き換える),(フキュー 普及),(リヨー 利用),(デンソー 伝送)
ローラ・ロズリン,(ニンメイ 任命)
MSNBC,(カイシ 開始),(ホーソー 放送),(リベラル リベラル)
アウグスティノス・カポディストリアス,(シューニン 就任)
義弟,(エイガ 映画),(オンガクカ 音楽家),(ツーホー 通報),(チマミレ 血まみれ),(ヤクザイシ 薬剤師),(ジニン 自認),(ケイエイ 経営),(コロス 殺す),(ショユー 所有),(ジョーホー 情報),(ショーセツ 小説),(カトク 家督),(ウシナウ 失う),(ミギカタ 右肩),(クワエル 加える),(ハイユー 俳優),(モデル モデル)
楊秀,(ハイイ 廃位),(シャシ 奢侈),(アヤマル 謝る),(ムホン 謀反),(コーテイ 皇帝),(ゲキド 激怒),(オソレル 恐れる),(ショーコク 小国),(ショーカン 召還),(シュッパツ 出発),(シシャ 使者),(フマン 不満)
ペーロン,(ショーカイ 紹介)
ガモラン,(オクリコム 送り込む)
ISAM,(モチイル 用いる)
ラファエル・ウルダネータ,(シッキャク 失脚)
エルネスト・ソルベー,(コーアン 考案)
シーウルフ,(サイゴ 最後),(ショーカイ 哨戒),(ギョライ 魚雷),(キロク 記録),(ツズク 続く),(ハッシャ 発射),(トクセツ 特設),(フジョー 浮上),(サイショ 最初),(チューヤ 昼夜),(コーゲキ 攻撃),(ゲキチン 撃沈),(トーサイ 搭載),(センカ 戦果),(コーブ 後部),(ケンゾー 建造),(フクメル 含める),(クリスマス クリスマス)
FIGC,(ゴーイ 合意)
デーヴァ,(ライジン 雷神),(ジブン 自分),(オビヤカス 脅かす),(ゲンセイ 現世),(タオス 倒す),(ダイヒョー 代表),(ブッダ 仏陀)
EPROM,(ナイゾー 内蔵),(ヒジョー 非常),(ソーチ 装置),(モチイル 用いる),(サイヨー 採用),(ソーニュー 挿入),(タイリョー 大量),(シヨー 使用),(キャラクタジェネレータ キャラクタジェネレータ)
国軍,(カイハツ 開発),(ジョーリク 上陸),(ショーリ 勝利),(テッタイ 撤退),(チューオー 中央),(シンチュー 進駐),(シエン 支援),(ダイトーリョー 大統領),(ホユー 保有),(シンコー 侵攻),(ヤブル 破る),(コーゲキ 攻撃),(ホーイ 包囲),(ソーセツ 創設),(ゴーブク 降伏),(ヘンセイ 編成),(テイコク 帝国),(トーゴー 統合),(アイテ 相手),(セイシキ 正式),(サイシュー 最終),(コーセイ 攻勢),(ゲキハ 撃破),(トーニュー 投入),(アットー 圧倒),(センリョー 占領),(シヨー 使用),(クーデター クーデター),(リクグン 陸軍),(セマル 迫る),(シューゲキ 襲撃),(トーカツ 統括),(ヒキイル 率いる),(チアン 治安),(ユース 有す),(アンコク 暗黒),(ウチヤブル 打ち破る),(ハンゲキ 反撃),(サンショー 参照),(キョードー 協同),(シュツドー 出動),(ユーセイ 優勢),(ツクル 作る),(チューリュー 駐留),(シュト 首都),(ヒジョー 非常),(シューケツ 集結),(リクカイクー 陸海空),(シンゲキ 進撃),(レンケイ 連携),(レンゴー 連合),(ツレル 連れる),(ゲイゲキ 迎撃),(セッチ 設置),(カイタイ 解体),(コークー 航空),(トーソツ 統率),(ハチク 破竹),(ケンセイ 牽制),(ハゲシイ 激しい),(ハケン 派遣),(ハヘイ 派兵),(トーザイ 東西),(ブンミン 文民),(フセツ 敷設),(セイジ 政治),(セイフ 政府),(ホーチク 放逐),(シハイ 支配),(テッシュー 撤収),(テッペイ 撤兵),(ゲキタイ 撃退),(セッキン 接近),(サイヨー 採用),(ショユー 所有),(センリョク 戦力),(センソー 戦争),(ワクセイ 惑星),(テンカイ 展開),(ソンザイ 存在),(タイホー 大砲),(ゾーエン 増援),(コッカ 国家),(ハンコー 反攻),(シメル 占める),(ミナミ 南),(ドーイン 動員),(ゼンシン 前進),(サンカ 傘下),(マーケット マーケット),(ゲリラ ゲリラ),(マヤク 麻薬),(チュートン 駐屯),(クチク 駆逐),(アズケル 預ける),(ヒゴーホー 非合法),(デンゲキ 電撃),(コヨー 雇用),(ノゾク 除く),(カイセン 開戦)
混血,(ススム 進む),(クリカエス 繰り返す),(フクム 含む),(ススメル 進める),(オーイ 多い),(フエル 増える),(キューソク 急速),(ショーレイ 奨励),(オコル 起こる),(ミトメル 認める),(オコナウ 行う),(シゼン 自然),(シャカイ 社会),(ウマレル 生まれる),(メズラシイ 珍しい),(ハゲシイ 激しい),(ゾーカ 増加),(カノー 可能),(コクジン 黒人),(クイトメル 食い止める),(カサネル 重ねる),(サケル 避ける),(イデン 遺伝),(キゲン 起源),(オキル 起きる),(キョヨー 許容),(ミアタル 見当たる),(フクザツ 複雑),(イタン 異端),(コンケツ 混血),(マネク 招く),(アツカウ 扱う),(アタリマエ 当たり前),(ソンゾク 存続),(ソンザイ 存在),(キラウ 嫌う),(ハジマル 始まる),(フヤス 増やす),(カイヒ 回避),(ウケイレル 受け入れる),(シメル 占める),(ヘイエキ 兵役),(コーショク 公職),(センゾ 先祖),(シュタイ 主体),(ハーフ ハーフ)
エドゥアルド・フレイ・ルイスタグレ,(ダイトーリョー 大統領)
出世,(トゲル 遂げる),(カサネル 重ねる),(ハタス 果たす),(オクレル 遅れる),(ハヤイ 早い),(オソイ 遅い),(アキラメル 諦める),(メザス 目指す),(ツズケル 続ける),(ネタム 妬む),(ジュンチョー 順調),(モクロム 目論む),(キタイ 期待),(ノゾメル 望める),(ノゾム 望む),(ヤクソク 約束),(カノー 可能),(ステル 捨てる),(オーキイ 大きい),(デキル 出来る),(ネガウ 願う),(ハバム 阻む),(ツズク 続く),(キソイアウ 競い合う),(キガン 祈願),(メアテ 目当て),(キメル 決める),(モトメル 求める),(トマル 止まる),(ナシトゲル 成し遂げる),(ボーガイ 妨害),(ユメミル 夢見る),(コンナン 困難),(タスケル 助ける),(アラソウ 争う),(カギル 限る),(マチガイ 間違い),(トザス 閉ざす),(オクラセル 遅らせる),(ツージョー 通常),(ノガス 逃す),(オイコス 追い越す),(タンジョー 誕生),(チカウ 誓う),(ミコメル 見込める),(ミセル 見せる),(ゲイニン 芸人),(ジシン 自身),(カンガエル 考える),(クリカエス 繰り返す),(キソウ 競う),(カクジツ 確実),(モクヒョー 目標),(トメオク 留め置く),(チューモク 注目),(トメル 止める),(ハタセル 果たせる),(ノゾミ 望み),(ユーリ 有利),(ササエル 支える),(タントー 担当),(ケネン 懸念),(カケル 懸ける),(イソグ 急ぐ),(ココロヨイ 快い),(ココロザス 志す),(オトート 弟),(カンガン 宦官),(ジツゲン 実現),(ハジメル 始める),(ハジマル 始まる),(サマタゲル 妨げる),(ジョセイ 女性),(オーハバ 大幅),(タイヘン 大変),(ハズレル 外れる),(ハカル 図る),(シューイ 周囲),(アニデシ 兄弟子),(ウナガス 促す),(ノビナヤム 伸び悩む),(フコー 不幸),(フカノー 不可能),(テーマ テーマ),(キャンペーン キャンペーン)
フアン・アロンソ,(オシノケル 押しのける),(チホー 地方),(ユース ユース)
出丸,(ハイチ 配置),(ハイス 配す),(ツクル 造る),(キズク 築く),(カイハツ 開発),(イシガキ 石垣),(アイツグ 相次ぐ),(カンシュ 監守),(チンボツ 沈没),(ヘイジ 平時),(マモル 守る),(ソンザイ 存在),(ソトガワ 外側),(センキョ 占拠),(カイス 介す)
機織り,(サカン 盛ん),(ショーキボ 小規模),(オコナウ 行う),(クミアワス 組み合わす),(キンシ 禁止),(キョーシ 教示),(オソワル 教わる),(オシエル 教える),(シュゲイ 手芸),(トクイ 得意),(ドレイ 奴隷),(ジョセイ 女性),(ツカサドル 司る),(ケンザイ 健在),(タイケン 体験),(ジョーズ 上手)
ヒルギダマシ,(セイイク 生育)
複眼,(オーキイ 大きい),(チーサイ 小さい),(ツキダス 突き出す),(サユー 左右),(トーブ 頭部),(タイカ 退化),(ハッタツ 発達),(コーセイ 構成),(コクショク 黒色),(クロイ 黒い),(アザヤカ 鮮やか),(アタマ 頭),(ハナレル 離れる),(カッショク 褐色),(チャカッショク 茶褐色),(リョクショク 緑色),(カクニン 確認),(ショーメイ 照明),(セッス 接す),(カラダ 体),(マルイ 丸い),(リュー 龍),(コッカッショク 黒褐色),(クロッポイ 黒っぽい),(キイロイ 黄色い),(アオミ 青み),(シユー 雌雄),(ツージョー 通常),(アカイ 赤い),(ミエル 見える),(ヒョーゲン 表現),(ウスイ 薄い),(セナカ 背中),(シュクショー 縮小),(ケイショー 継承),(ハッコー 発光),(コーラ 甲羅),(カブト 甲),(シンリョク 深緑),(ショーシツ 消失),(ヨコナガ 横長),(ダエン 楕円),(ユースル 有する),(ユース 有す),(フツー 普通),(エガク 描く),(セイテキ 性的),(オモウ 思う),(ケイセイ 形成),(キョダイ 巨大),(アズキイロ 小豆色),(ウシナウ 失う),(カッコ 各個),(オサメル 収める),(タマゴ 卵),(ハンキュー 半球),(マエガワ 前側),(キレナガ 切れ長),(シュヨー 主要),(マルミ 丸み),(チューオー 中央),(ナラブ 並ぶ),(イッツイ 一対),(クリア クリア)
ナルミヤ・インターナショナル,(ジッシ 実施)
