ランボー,(セットク 説得),(タズネル 訪ねる),(グンポー 軍法),(ジブン 自分),(エイガ 映画),(キューシュツ 救出),(ホリョ 捕虜),(トラエル 捕える),(トーコー 投降),(シャサツ 射殺),(ガクセイ 学生),(ガンキョー 頑強),(ゴーブク 降伏),(タイホ 逮捕),(ツレル 連れる),(ハナシアイ 話し合い),(ホーモン 訪問),(ジドーシャ 自動車),(ダッソー 脱走),(ヤクソク 約束),(コモル 篭る),(シャカイ 社会),(ヤブル 破る),(ケンキュー 研究),(イキウメ 生き埋め),(ドクダン 独断),(ボッシュー 没収),(アンナイ 案内),(ジョーケン 条件),(セイフ 政府),(エガク 描く),(サガス 探す),(ハイジョ 排除),(ソーサク 捜索),(アゲル 挙げる),(キョヒ 拒否),(ナゲル 投げる),(ショーダク 承諾),(センシャ 戦車),(センジュツ 戦術),(センジ 戦時),(ナグサメル 慰める),(オモイ 思い),(オーセン 応戦),(シンテキ 心的),(マチカマエル 待ち構える),(ユミヤ 弓矢),(シューヘイ 州兵),(イソーロー 居候),(スガタ 姿),(コードー 坑道),(トラワレル 囚われる),(フクメル 含める),(シジョー 史上),(ハンゲキ 反撃),(カセイ 加勢),(ヨーヘイ 傭兵),(ホアン 保安),(イライ 依頼),(シヨー 使用),(ツカウ 使う),(ニンム 任務),(イッコー 一行),(ホープ ホープ),(ピストル ピストル),(パトカー パトカー),(ナイフ ナイフ),(トラブル トラブル),(ジャングル ジャングル),(コンピュータアーキテクチャ コンピュータアーキテクチャ),(ガソリンスタンド ガソリンスタンド)
カサレヴサ,(コーヨー 公用),(セイシキ 正式),(ヒョージュン 標準),(ユイイツ 唯一)
マウリッツ,(ジュー 銃),(ギャクテン 逆転),(コーアン 考案),(アミダス 編み出す),(ソートク 総督),(イキル 生きる),(シキョ 死去),(シボー 死亡),(セイシャ 斉射),(ジューケイ 従兄),(コーケイ 後継),(ショージュー 小銃),(ショーコー 将校),(イモート 妹),(ゲンカク 厳格),(キョーテイ 協定),(コベツ 個別),(チュータイ 中隊),(チューシン 中心)
ジンゲロン,(フクム 含む)
ケージ,(ヨーイ 用意),(ヒツヨー 必要),(オンシツ 温室),(カゼトーシ 風通し),(セッチ 設置),(アンマク 暗幕),(シイク 飼育),(モチハコブ 持ち運ぶ),(シヨー 使用),(タカイ 高い),(カイハツ 開発),(ハイチ 配置),(タメル 貯める),(セッテイ 設定),(ススメル 薦める),(ザンコク 残酷),(コーセイ 構成),(サイダイ 最大),(トーサイ 搭載),(タントー 担当),(ケイセイ 形成),(ケンセツ 建設),(ヒロイ 広い),(チーサイ 小さい),(カンセイ 完成),(オーキイ 大きい),(コワス 壊す),(フエル 増える),(ジメン 地面),(トリツケル 取り付ける),(セツダン 切断),(ソナエル 備える),(ツカウ 使う),(ツクル 作る),(ダイヒョー 代表),(チューシン 中心),(サゲル 下げる),(ストック ストック)
ケース,(オーイ 多い),(フエル 増える),(スクナイ 少ない),(メダツ 目立つ),(ソンザイ 存在),(ノゾク 除く),(ゾーカ 増加),(ヒジョー 非常),(タイハン 大半),(アイツグ 相次ぐ),(ハッセイ 発生),(アゲル 挙げる),(イッパン 一般),(ショージル 生じる),(タハツ 多発),(メズラシイ 珍しい),(サンケン 散見),(フゾク 付属),(カンガエル 考える),(シヨー 使用),(ソーテイ 想定),(モチイル 用いる),(ホーコク 報告),(アケル 開ける),(ヒンパツ 頻発),(ミウケル 見受ける),(キューゾー 急増),(フクム 含む),(ゾクシュツ 続出),(カイム 皆無),(イレル 入れる),(シュリュー 主流),(ツズク 続く),(アラワレル 現れる),(ゼンコク 全国),(オコル 起こる),(フクスー 複数),(サイヨー 採用),(ツカウ 使う),(カイス 介す),(ヒラク 開く),(ユーメイ 有名),(カズオーイ 数多い),(アットーテキ 圧倒的),(フクメル 含める),(ヒンパン 頻繁),(セッチ 設置),(コーリョ 考慮),(カクニン 確認),(トクシュ 特殊),(リヨー 利用),(テンケイ 典型),(ソフトウェア ソフトウェア),(ツージョー 通常),(ミツカル 見つかる),(ゲンショー 減少),(ヒツヨー 必要),(モンダイ 問題),(レイガイ 例外),(セカイ 世界),(ケンチョ 顕著),(カイハツ 開発),(ソーチャク 装着),(アラワス 表す),(ゾクハツ 続発),(ハツバイ 発売),(キノー 機能),(アツカウ 扱う),(カンゼン 完全),(オーハバ 大幅),(オーキイ 大きい),(カクチ 各地),(ツクル 作る),(ヒンシュツ 頻出),(ジョガイ 除外),(カイシ 開始),(ハコブ 運ぶ),(モラエル 貰える),(ハンバイ 販売),(ソービ 装備),(イレイ 異例),(ヨーイ 用意),(ナクナル 無くなる),(チューモク 注目),(カカエル 抱える),(ウバウ 奪う),(ホージル 報じる),(キホン 基本),(トリアゲル 取り上げる),(シューノー 収納),(サクジョ 削除),(グタイ 具体),(タカイ 高い),(ルイレイ 類例),(ツイカ 追加),(ノセル 載せる),(オキル 起きる),(ゾーテイ 贈呈),(ショーサイ 詳細),(ガイトー 該当)
レジオン・オブ・メリット,(ジュヨ 授与),(ジュショー 受賞),(ジョクン 叙勲)
ケーキ,(タベル 食べる),(ツクル 作る),(ヨーイ 用意),(オクル 贈る),(テイキョー 提供),(ハンバイ 販売),(トージョー 登場),(プレゼント プレゼント),(ウバウ 奪う),(ツカウ 使う),(セイゾー 製造),(フンサイ 粉砕),(シメス 示す),(ヌスム 盗む),(ワタス 渡す),(フクム 含む),(ニンキ 人気),(シュリョク 主力),(アタエル 与える),(イッパン 一般),(ドラムカン ドラム缶),(マホー 魔法),(タカイ 高い),(タノム 頼む),(サイゲン 際限),(ハコブ 運ぶ),(ハコビコム 運び込む),(レンソー 連想),(ゾーテイ 贈呈),(カケル 賭ける),(ゴーカ 豪華),(タンジョー 誕生),(シショク 試食),(ミタメ 見た目),(オトス 落とす),(カシパン 菓子パン),(エイゴ 英語),(カビン 花瓶),(フクレル 膨れる),(フクラマス 膨らます),(ソダテル 育てる),(コーアン 考案),(クミアワセル 組み合わせる),(ショーサン 硝酸),(セイサン 生産),(ウミダス 生み出す),(アマイ 甘い),(ゲンエキ 現役),(アラワレル 現れる),(バクハツ 爆発),(ヤキアゲル 焼き上げる),(ムリョー 無料),(シメル 湿る),(ホシイ 欲しい),(オーフー 欧風),(ザイリョー 材料),(サイショ 最初),(キセイ 既製),(ホール 放る),(アゲル 揚げる),(ハイシュツ 排出),(ハイス 排す),(ジサン 持参),(ヒロウ 拾う),(テワタス 手渡す),(トクイ 得意),(ネンカン 年間),(タイラゲル 平らげる),(トドク 届く),(コムギコ 小麦粉),(タイカ 対価),(シツオン 室温),(テイバン 定番),(カンセイ 完成),(ソンザイ 存在),(コーヒョー 好評),(コノム 好む),(オゴル 奢る),(タイリョー 大量),(ダイスキ 大好き),(ドダイ 土台),(ヒンピョー 品評),(ジュショー 受賞),(ウケル 受ける),(カコー 加工),(ワケル 分ける),(シュツゲン 出現),(シャシン 写真),(テンケイ 典型),(キョー 供),(ツクレル 作れる),(ランボー 乱暴),(ナラブ 並ぶ),(ヒトツ 一つ),(メーカー メーカー),(ボルシチ ボルシチ),(プラム プラム),(ブルーベリー ブルーベリー),(フォン フォン),(ビスケット ビスケット)
アンドロマケ,(コロス 殺す)
泥絵具,(ガザイ 画材)
アヌーシュ・テギーン,(チョーシ 長子),(ボッス 没す)
サブロー・シロー,(ニンキ 人気),(ラジオ ラジオ),(メイン メイン)
ホセ・キャリオカ,(トビダス 飛び出す)
