アル・アジフ,(トージョー 搭乗)
マリー・ヴィグマン,(ゲンダイ 現代)
ミハウ・カレツキ,(ダイヒョー 代表)
ラウール・タムード,(ハットトリック ハットトリック)
拉致,(ミトメル 認める),(オコナウ 行う),(ヒテイ 否定),(ジッコー 実行),(オコル 起こる),(セイコー 成功),(シッパイ 失敗),(メイジル 命じる),(フクム 含む),(コーシキ 公式),(ボーシ 防止),(ジューダイ 重大),(ギャク 逆),(ユルス 赦す),(ココロミル 試みる),(ケイカク 計画),(カンガエル 考える),(クリカエス 繰り返す),(ツズケル 続ける),(ハッカク 発覚),(ウタガウ 疑う),(リユー 理由),(ハンザイ 犯罪),(ケッコー 決行),(ミゼン 未然),(アキラカ 明らか),(ビョーシャ 描写),(シテキ 指摘),(テビキ 手引き),(キューゾー 急増),(キョーセイ 強制),(サッチ 察知),(ソンザイ 存在),(ホードー 報道),(コッカ 国家),(メイレイ 命令),(コクハク 告白),(フクメル 含める),(ゴーホー 合法),(ウケル 受ける),(ゼンレイ 前例),(ケイホー 刑法),(シンジル 信じる),(タクラム 企む),(デッチアゲ でっち上げ)
遷都,(オコナウ 行う),(ジッシ 実施),(キョーコー 強行),(ケッテイ 決定),(ケイカク 計画),(センゲン 宣言),(シュチョー 主張),(クリカエス 繰り返す),(ハッピョー 発表),(カンガエル 考える),(キメル 決める),(ジッコー 実行),(ケントー 検討),(ノゾム 望む),(テイアン 提案),(ヨギナイ 余儀ない),(ススメル 進める),(メザス 目指す),(カクサク 画策),(ケッコー 決行),(セイシキ 正式),(ダンコー 断行),(テイショー 提唱),(ジツゲン 実現),(カンリョー 完了),(ツゲル 告げる),(イケン 違憲),(レンポー 連邦),(セマル 迫る),(ヒヨー 費用),(ギロン 議論),(ロンジル 論じる),(ミオクル 見送る),(ヨーキュー 要求),(ヨーボー 要望),(ヒョーメイ 表明),(タチギエ 立ち消え),(カクテイ 確定),(アイツグ 相次ぐ),(モクテキ 目的),(ケツイ 決意),(モトメル 求める),(キカイ 機会),(ハタス 果たす),(ダンネン 断念),(セイジ 政治),(スイシン 推進),(キョヒ 拒否),(タントー 担当),(ネントー 念頭),(ケンギ 建議),(ボーガイ 妨害),(ハカル 図る),(トナエル 唱える),(ワヘイ 和平),(カノー 可能),(サケブ 叫ぶ),(ハンタイ 反対),(リヨー 利用),(コーヒョー 公表),(シュドー 主導)
シャルル・ルルー,(キョク 曲)
メソジスト,(オコス 興す),(ダッタイ 脱退),(ケイケン 敬虔),(ヒロガル 広がる),(ヨロコビ 喜び),(ウケイレル 受け入れる),(ホーカツ 包括),(タスケル 助ける),(ヨテイ 予定),(シュリュー 主流),(ジャンパー ジャンパー)
マネシツグミ,(セイソク 生息)
アンリ・ジファール,(ヒコー 飛行),(ジョーキ 蒸気),(ヒジュー 比重)
キャプテン・シュヴァル,(アヤツル 操る)
粗品,(オクル 送る),(モラエル 貰える),(プレゼント プレゼント),(クバル 配る),(シンテイ 進呈),(ヨーイ 用意),(ワタス 渡す),(サシアゲル 差し上げる),(トドケル 届ける),(コクホー 国宝),(ゼンジュツ 前述)
