応唱,(フクザツ 複雑),(ドーニュー 導入)
LART,(セイサク 製作)
LARC,(ハッチュー 発注)
火縄銃,(モチイル 用いる),(ツカウ 使う),(シヨー 使用),(デンライ 伝来),(ツタエル 伝える),(タネガシマ 種子島),(トージョー 登場),(サンショー 参照),(カイハツ 開発),(テキス 適す),(コーニュー 購入),(ソーテン 装填),(ソービ 装備),(オチル 落ちる),(タテル 立てる),(シュンパツ 瞬発),(アイテ 相手),(ハッタツ 発達),(ハツメイ 発明),(ハッシャ 発射),(ウミダス 生み出す),(ウマレル 生まれる),(ゲンチ 現地),(ヒナワ 火縄),(シントー 浸透),(レキシ 歴史),(ユース 有す),(フキュー 普及),(タズサエル 携える),(カカエル 抱える),(アツカウ 扱う),(セントー 戦闘),(キューソク 急速),(ヤクニタツ 役に立つ),(キュージュツ 弓術),(スタレル 廃れる),(ショージュー 小銃),(ドーニュー 導入),(ジッセン 実戦),(テイチャク 定着),(カンセイ 完成),(カンゼン 完全),(ソンザイ 存在),(タイリョー 大量),(オーガタ 大型),(オーイ 多い),(コクサン 国産),(フクム 含む),(コーカ 効果),(ゼンジュツ 前述),(ツタワル 伝わる),(シュリョク 主力),(シュタイ 主体),(セカイ 世界),(アタエル 与える)
プレーンテキスト,(テキスト テキスト),(ソーショク 装飾),(モチイル 用いる),(シヨー 使用)
ピーサレフ,(シゼン 自然),(キョクゲン 極言)
フェレール・フェラン,(スイソーガク 吹奏楽)
風習,(ノコル 残る),(スタレル 廃れる),(ソンザイ 存在),(ウマレル 生まれる),(ヒロマル 広まる),(ツタワル 伝わる),(オコナウ 行う),(イロコイ 色濃い),(マモル 守る),(カクチ 各地),(サカン 盛ん),(ノコス 残す),(ハジマル 始まる),(ツズク 続く),(ショーカイ 紹介),(ヒロガル 広がる),(テイチャク 定着),(オーイ 多い),(ツタエル 伝える),(イッパン 一般),(ナガイ 長い),(ゲンダイ 現代),(ミンカン 民間),(アラタメル 改める),(フッカツ 復活),(ヒロイ 広い),(トリイレル 取り入れる),(チューセイ 中世),(シューダン 集団),(ヤバン 野蛮),(メイシン 迷信),(キンダイ 近代),(キンセイ 近世),(ソダテル 育てる),(ツズケル 続ける),(ケンキュー 研究),(マネル 真似る),(ハッセイ 発生),(ウミダス 生み出す),(リカイ 理解),(ネズヨイ 根強い),(ネツク 根付く),(フキュー 普及),(ホーキ 放棄),(モチコム 持ち込む),(ヒハン 批判),(セイリツ 成立),(カタチ 形),(ツヨイ 強い),(ヒキツグ 引き継ぐ),(ハイゼツ 廃絶),(マナブ 学ぶ),(コドモ 子供),(タダイ 多大),(フルイ 古い),(ウケツグ 受け継ぐ),(ハンエイ 反映),(デキアガル 出来上がる),(ジュキョー 儒教),(タモツ 保つ),(セカイ 世界),(ショク 食),(カンガミル 鑑みる),(ナマリ 鉛),(チョーホー 重宝),(オモンジル 重んじる),(トダエル 途絶える),(トゼツ 途絶),(テンカ 転化),(テンジル 転じる),(キゲン 起源),(オコル 起こる),(ゴカイ 誤解),(カタル 語る),(キロク 記録),(シルス 記す),(オボエル 覚える),(オトロエル 衰える),(オモテダツ 表立つ),(アラワス 表す),(ウスレル 薄れる),(ワカイ 若い),(ゲイノー 芸能),(ハイケイ 背景),(ハグクム 育む),(ゼツメツ 絶滅),(コマカイ 細かい),(セッキョク 積極),(イテン 移転),(シンブツ 神仏),(シメス 示す),(カクニン 確認),(カクリツ 確立),(キョーセイ 矯正),(チメイド 知名度),(ケンナイ 県内),(ソーハン 相反),(モーモクテキ 盲目的),(トージョー 登場),(ハッタツ 発達)
レジスト,(ジョキョ 除去),(ハッセイ 発生),(ヨーカイ 溶解),(カンゼン 完全),(ハクリ 剥離),(ヒカリ 光),(フヨーセイ 不溶性)
フィリップ・スカイラー,(ヤブル 破る),(ショーショー 少将)
ストライド,(オーキイ 大きい),(シンチョー 身長),(ヒジョー 非常),(ミジカイ 短い),(アイテ 相手),(イカス 活かす),(ヒロゲル 広げる),(ヒロガル 広がる),(チーサイ 小さい),(ツカイコナス 使いこなす),(ツクル 作る)
ストライダ,(クドー 駆動)
