スオー,素襖
セキヤ,関屋
クサイ,臭い
シルク,映像
デフレ,デフレーション
ブンキョー,文教,漢文
シルシ,朱印,験,馬印,治験,教会,官印,印
キモイリ,肝煎
タツオ,おしどり
アクシツ,悪質
ヨリドコロ,証拠,拠点
シルス,自筆
ハナバタ,花畑
スナアラシ,ダスト
デフネ,出船
カイルイ,貝類
ジダイ,近代,王朝,欠,時代,先,石器,無事,清朝,氷河期,時代物,幼年,女人,前期,ジュラ紀
ヒラマク,平幕
マワス,股
マワシ,廻し,回し
ネンレイ,年齢,対象,壮年,働き,中年
ロース,ロース
ローズ,ローズ,ローズマリー,オーシャン
トリョー,パテ
ボトケ,仏,涅槃,量,仏陀,仏滅
シイ,しいたけ
タツキ,落葉樹,樹海
シキ,形式,株式会社,公式,株式,式,結婚式,一式,複式,環,式部,屋敷,型式,四季,高校生,音叉,開架,鎖,辞書,計算尺,観閲,観艦式,葬式,腹式呼吸,聖職,等式,竪穴,百姓,火刑,液体,浮体,河川敷,横穴,条件,有職,書式,更衣,時分,数式,指揮棒,弧,座敷,対称,定式,子規,固有,図式,友人,加法,制式,内外,公設,公文,光線,儀式,会式,乾式,シキ,ギブス,オイラー,しき
ミボージン,ネジ
シク,識字,慣習,卜
ブショー,源,平,赤松,長尾,張,結城,三好,原,南部,蘆,伊達,一色,王,孫,遠山,河,小山,馬,大石,大内,簗,真田,黒田,関,正木,新田,山中,陶,筒井,杉原,明智,川上,吉,馬場,赤,牧,堀,別所,佐,香,陸,郭,犬,滝川,小倉,大関,周,公孫,鳥居,米,箸,石塔,杉,平家,宗,国司,問,項,菅,花房,胡,籠,秋月,神代,甲斐,朽木,志,平手,姉,城,冷泉,久,鮑,高遠,青地,難,路,賀,祖,皇,猪子,片,歩,柘植,杉重,木造,得,岳,小国,安保,坂,口,厳,典,井戸,トウ,鮭,鮎,高覧,馬謖,長寿,遠矢,虞,芝山,船尾,磯,洲,津々,法華,江上,武将,横道,榛,楯,棗,新開,斑鳩,敷地,平常,平信,岩室,審,季,大賀,大河,多目,唐人,吾,句,卓,刺,公文,俄,佃,不精,三宝,丈
シエ,紫衣
シカ,鹿,しか,鹿砦,超然,系,戊,屋敷,審美,シフ
シオ,硫酸,炭酸,酢酸,黒潮,臭,リン,次,安息香,塩,汐,岩塩,塩素,マンガン,クロム,赤潮,臭素,硝酸塩,甘塩,無機,潮汐,夕潮,塩釜,塩浜,乳酸,リン酸カルシウム,タングステン,グルタミン酸,キセノン
シサ,適格,視差,太極,唇音,クサビ
シゴ,死語
シシ,獅子,しし,野獣,雷獣,獅子王,獅子奮迅
シケ,師家
カヨーキョク,歌謡,歌謡曲
シゲ,笠木
シソ,木骨,ブローニング
シタ,下,下田,下町,下水道,下駄,下級生,下着,脳下垂体,缶,竜舌蘭,廊下,下肢,下等,下拵え,下座,下味,下剋上,下り物,下り,下の句,サンザシ
シス,楊子,使者
シジ,指事
シズ,静,静電気,静脈,静物,隋
ウカイ,鵜飼,鵜飼い,良
カカワル,軟式,声
カカワリ,錦織,中心,ダニ
ミチトモ,至大
ダンネツ,断熱
ニューカザイ,グリセリン
フジョキ,不如帰
ターボ,ターボ
エイタンゴ,フレックス,ヌード,ツイン,スタンバイ,アサ
ガクテキ,免疫
ウンエイ,道,放射線,都電,救貧,家老,個別,ホテル,ショップ
タール,タール,キン
ヒトジチ,人質
コダイ,古代
セイビョー,鼠径,軟性
タイキョクケン,太極拳
テディベア,蓼
サンゾー,真諦
コクイン,アプリケーション
カイサイ,世界,グランド,ミス・ユニバース,ユニバーシアード,ユーロ,ミス,ツアー,ジュニア,夏季,冬季,優秀,ストック,スタンプ,インライン,アイスホッケー,たたら
ホーソク,オーム,エネルギー,賃金,法則,気体,定圧,地層,六法,優性,倍数,ポアソン,フック,ピーク,グロッシュ,クーロン,ギルダー
マホーツカイ,魔法使い
ジョーショー,丞相
ケツゴー,血漿
シーズン,ユーロ,フットボール
スイセン,スイセン
キョーケン,狂犬病
ヤマオロシ,山颪
ハロー,ハロー,波浪
